"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","checkpoint","checkpoint_path","context","dropout","epochs","grad_clip","init_lr","loss_function","optimizer","save_best_only","scheduler","scheduler_params.gamma","scheduler_params.step_size","weight_decay","lr","train_acc","train_loss","val_acc","valid_loss"
"first-run","finished","-","","","2024-09-20T17:09:13.000Z","26608","","","","","","","","40","","","","","true","","","","","0.001","86.01161224301246","0.4021304549257973","86.21967215826068","0.4099625905861014"
"first-run","finished","-","","","2024-09-20T10:22:55.000Z","24293","","","","","","","","40","","","","","true","","","","","0.001","85.77140072826242","0.4100121717809352","86.02710688822354","0.4142073096268496"
"first-run","finished","-","","","2024-09-19T17:49:44.000Z","56752","","medium-cutoff","2048","","","35","0.2","20","","0.001","","","","","","","0.001","0.001","85.4468581566383","0.4211924532137197","85.77405432687578","0.4213088572563133"
"first-run","crashed","-","","","2024-09-19T17:39:29.000Z","315","","","","","","","","60","","","","","true","","","","","","","","",""
"first-run","crashed","-","","","2024-09-19T17:36:43.000Z","480","","","","","","","","60","","","","","true","","","","","","","","",""
"first-run","crashed","-","","","2024-09-19T17:36:24.000Z","0","","","","","","","","60","","","","","true","","","","","","","","",""
"first-run","crashed","-","","","2024-09-19T17:34:28.000Z","0","","","","","","","","60","","","","","true","","","","","","","","",""
"first-run","crashed","-","","","2024-09-19T17:33:15.000Z","0","","","","","","","","60","","","","","true","","","","","","","","",""
"first-run","finished","-","","","2024-09-19T17:29:29.000Z","205","","","","","","","","60","","","","","true","","","","","","","","",""
"first-run","finished","-","","","2024-09-19T00:52:27.000Z","11261","","","","","","","","5","","","","","true","","","","","0.0001","84.94672040353987","0.4382125804264001","85.57013759844261","0.426349466772889"
"first-run","finished","-","","","2024-09-18T17:54:18.000Z","12359","","","","","","","","40","","","","","true","","","","","0.0001","84.74199031546746","0.4452157345751584","85.42000223984603","0.4303138990331968"
"first-run","finished","-","","","2024-09-18T04:40:36.000Z","46417","","medium-cutoff","512","","","35","0.2","20","","0.0001","","","","","","","0.0001","0.0001","84.39518999983586","0.45681770079875694","85.16636041611362","0.43709955020516694"
"first-run","finished","-","","","2024-09-18T00:00:41.000Z","16467","","medium-cutoff","512","","","35","0.2","20","","0.0001","","","","","","","0.0001","0.0001","82.68679783631005","0.5145805178495808","83.9356030439784","0.47301142592945306"
"first-run","finished","-","","","2024-09-17T05:17:58.000Z","51459","","medium-cutoff","512","","","35","0.2","15","","0.0001","","","","","","","0.0001","0.0001","84.66323998560293","0.44782940895212986","85.33268972325459","0.43174402287982966"
"first-run","finished","-","","","2024-09-14T07:35:51.000Z","15698","","very-low-cutoff","1024","true","./model_checkpoints","20","0.5","20","1","0.001","CrossEntropyLoss","Adam","","StepLR","0.7","10","0.0001","0.001","61.100295662294855","1.290195363195504","67.24845740445859","1.0701965881697435"
"first-run","crashed","-","","","2024-09-07T03:40:46.000Z","617262","","","","","","","","2","","","","","","","","","","0.001","68.91658328533286","1.0078081783639283","68.36207039543525","1.0249612288680046"
"first-run","finished","-","","","2024-09-07T03:38:42.000Z","121","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","","","","",""
"first-run","finished","-","","","2024-09-06T03:09:58.000Z","5247","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","0.001","71.3838568323311","0.9230913664262668","70.13989102308918","0.9636163617585116"
"first-run","finished","-","","","2024-09-06T02:47:15.000Z","1361","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","","","","",""
"first-run","finished","-","","","2024-09-06T02:26:38.000Z","47","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","","","","",""
"first-run","crashed","-","","","2024-09-06T00:09:44.000Z","4440","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","0.001","71.0570150397984","0.933863683949059","69.87584593949045","0.972059641579154"
"first-run","crashed","-","","","2024-09-05T23:35:00.000Z","896","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","","","","",""
"first-run","finished","-","","","2024-09-05T23:33:18.000Z","100","","very-low-cutoff","1024","","","20","","5","","0.001","","","","","","","","","","","",""
